sector,sl_no,project_name,agency,project_code,legacy_ocms_code,original_cost,commissioning_date,expenditure,report_month,source_file,completion_month,ministry,state,approval_date,start_date,actual_completion,target_doc,revised_doc,revised_cost,final_cost,actual_mi,orig_doc_mi,y_cost_overrun_pct,y_time_overrun_m
,8,DHANGAON - BORGAON SECTION (KM 81.000 TO KM 139.000) [INDORE - EDLABAD PKG IV],NHAI,,N24001769,831.0,1/2023,1185.04,2024-11,November.pdf,,,,,,,,,,831.0,24277.0,,0.0,
,9,4L OF DUDHADHARI ELEVATED FLYOVER,MUZAFFARNAGAR ?HARIDWAR SECTION) FROM KM,,N24001995,154.52,1/2023,158.26,2024-11,November.pdf,,,,,,,,,,154.52,24277.0,,0.0,
,10,6L ACCESS CONTROLLED HIGHWAY FROM JN WITH JAITPUR PUSHTA ROAD TO JN WITH SECTOR 62/65 DIVIDING ROAD,NHAI,,N24002047,1328.07,1/2023,1087.16,2024-11,November.pdf,,,,,,,,,,1328.07,24277.0,,0.0,
,11,REHABILITATION AND UPGRADATION OF NH-42 FROM KM 4-350 TO KM 75-600,MoRTH,,N24000422,309.01,1/2015,274.36,2024-11,November.pdf,,,,,,,,,,309.01,24181.0,,0.0,
,12,TWO/FOUR LANNING OF BRT TIGER RESERVE BOUNDARY TO BANGALORE SECTION OF NH- 209(EXISTING CHAINAGE FROM,NHAI,,N24000622,950.69,1/2019,1844.43,2024-11,November.pdf,,,,,,,,,,950.69,24229.0,,0.0,
,1,DURGAPUR EXTENSION (DEEP) OC (3.0 MTY),WCL,,N06000157,3.0,03/2021,378.87,2024-12,December.pdf,,,,,,,,,,3.0,24255.0,,0.0,
,2,BELLORA-NAIGAON DEEP OC,WCL,,N06000180,2.0,03/2021,222.51,2024-12,December.pdf,,,,,,,,,,2.0,24255.0,,0.0,
,3,"CONSTRUCTION OF CAPTIVE POL LPG JETTY AT KAMARAJAR PORT, CHENNAI",IOCL,,N16000403,921.0,09/2023,777.15,2024-12,December.pdf,,,,,,,,,,921.0,24285.0,,0.0,
,4,"GAS ASSISTED GRAVITY DRAINAGE SCHEME, KASOMARIGAON",ONGC,,N16000433,218.38,02/2023,218.0,2024-12,December.pdf,,,,,,,,,,218.38,24278.0,,0.0,
,5,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,,N18000306,1562.0,12/2022,1324.25,2024-12,December.pdf,,,,,,,,,,1562.0,24276.0,,0.0,
,6,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,,N18000307,1006.0,12/2022,884.11,2024-12,December.pdf,,,,,,,,,,1006.0,24276.0,,0.0,
,7,NORTH EASTERN REGION STRENGTHENING SCHEME-XII,PGCIL,,N18000316,5.0,03/2023,419.96,2024-12,December.pdf,,,,,,,,,,5.0,24279.0,,0.0,
,8,KALPI SOLAR POWER PROJECT,NHPC,,N18000323,3.0,03/2022,331.25,2024-12,December.pdf,,,,,,,,,,3.0,24267.0,,0.0,
,9,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN NR UNDER FIBER OPTIC EXPANSION PROJECT (ADDITIO,PGCIL,,N18000184,197.4,03/2018,162.89,2024-12,December.pdf,,,,,,,,,,197.4,24219.0,,0.0,
,10,4-LANNING OF VARANASI GORAKHPUR SECTION OF NH- 29 FROM 148.00 208.300 KM [PACKAGE-IV],NHAI,,N24000551,1587.49,04/2019,3379.63,2024-12,December.pdf,,,,,,,,,,1587.49,24232.0,,0.0,
,11,NAGPUR RING ROAD PACKAGE-1,NHAI,,N24000558,5.0,07/2019,528.35,2024-12,December.pdf,,,,,,,,,,5.0,24235.0,,0.0,
,12,FOUR LANING OF BARHI - KODERMA SECTION OF NH - 31,NHAI,,N24000725,2.0,11/2021,255.63,2024-12,December.pdf,,,,,,,,,,2.0,24263.0,,0.0,
,13,FOUR LANING OF BALACHERA-HARANGAJAO SECTION OF NH-54 (EXT) FROM KM 275.00 TO KM 244.000 IN THE STATE,NHIDCL,,N24000902,818.0,06/2020,874.3,2024-12,December.pdf,,,,,,,,,,818.0,24246.0,,0.0,
,14,"CONSTRUCTION, OPERATION AND MAINTENANCE OF Z- MORH TUNNEL INCLUDING APPROACHES ON NH-01 SRINAGAR-SONA",NHIDCL,,N24001253,2680.42,12/2023,0.0,2024-12,December.pdf,,,,,,,,,,2680.42,24288.0,,0.0,
,15,2-LANING OF KHOWAI -AGARTALA SECTION FROM DESIGN KM 31.300 TO KM 45.300 OF NH-208A PKG-3,NHIDCL,,N24001318,173.17,04/2022,93.35,2024-12,December.pdf,,,,,,,,,,173.17,24268.0,,0.0,
,16,IMPHAL ? MOREH (PACKAGE 4),NHIDCL,,N24001399,2.0,01/2023,146.35,2024-12,December.pdf,,,,,,,,,,2.0,24277.0,,0.0,
,17,DIBRUGARH-LAHOAL-CHABUA BYPASS PACKAGE-2,NHIDCL,,N24001452,1.0,07/2024,125.71,2024-12,December.pdf,,,,,,,,,,1.0,24295.0,,0.0,
,18,DELHI METRO RAIL EXTENSION FROM NAJAFGARH TO DHANSA BUS STAND,DMRC,,N28000136,565.0,12/2020,522.33,2024-12,December.pdf,,,,,,,,,,565.0,24252.0,,0.0,
,19,KOCHI METRO RAIL PROJECT,KMRCL,,N28000081,5.0,07/2017,6059.17,2024-12,December.pdf,,,,,,,,,,5.0,24211.0,,0.0,
,20,CHENNAI METRO RAIL LTD (PHASE 1),CMRL,,N28000084,1.0,12/2015,17619.68,2024-12,December.pdf,,,,,,,,,,1.0,24192.0,,0.0,
,21,CHENNAI METRO RAIL LTD (PHASE 1 EXT),CMRL,,N28000097,3.0,03/2018,2527.73,2024-12,December.pdf,,,,,,,,,,3.0,24219.0,,0.0,
,22,PROTECTION OF MAJULI ISLAND FROM FLOOD AND EROSION OF RIVER BRAHMAPUTRA,BPB,,N30000001,233.57,12/2019,217.42,2024-12,December.pdf,,,,,,,,,,233.57,24240.0,,0.0,
,1,"CONSTRUCTION OF INTERNATIONAL CENTRE FOR PERFORMING ARTS AND CULTURE,SHILONG IN MEGALAYA UNDER NLCPR",HSCL FOR DONER,,N12000103,151.33,09/2017,148.33,2025-01,January.pdf,,,,,,,,,,151.33,24213.0,,0.0,
,2,Fuel Quality Upgradation Project at Paradip Refinery,IOCL,,N16000362,3.0,08/2021,2727.6,2025-01,January.pdf,,,,,,,,,,3.0,24260.0,,0.0,
,3,INSTALLATION OF STANDBY SRU TRAIN OF 525 TPD ALONGWITH INCINERATOR AT PARADIP REFINERY,IOCL,,N16000368,427.1,09/2022,312.13,2025-01,January.pdf,,,,,,,,,,427.1,24273.0,,0.0,
,4,"CGD PROJECT AT JHUNJHUNU, SIKAR AND NAGAUR DISTRICTS",IOCL,,N16000489,575.0,03/2030,124.37,2025-01,January.pdf,,,,,,,,,,575.0,24363.0,,0.0,
,5,"CGD PROJECT AT MADURAI, THENI AND VIRUDHNAGAR DISTRICTS",IOCL,,N16000490,1328.0,03/2030,149.21,2025-01,January.pdf,,,,,,,,,,1328.0,24363.0,,0.0,
,6,"CGD PROJECT AT KANYAKUMARI, TUTICORIN, TIRUNVELI KATTABO AND TENKASI DISTRICTS",IOCL,,N16000492,1295.0,03/2030,145.61,2025-01,January.pdf,,,,,,,,,,1295.0,24363.0,,0.0,
,7,"SETTING UP LUBE COMPLEX AT VILLAGES AMULLAVOYAL AND VAIKKADU, CHENNAI AS RESITEMENT OF EXISTING FACI",IOCL,,N16000405,1398.0,12/2023,1303.66,2025-01,January.pdf,,,,,,,,,,1398.0,24288.0,,0.0,
,8,ANTA SOLAR 90 MW,NTPC,,N18000292,382.22,03/2022,497.17,2025-01,January.pdf,,,,,,,,,,382.22,24267.0,,0.0,
,9,CHHATTARGARH 150 MW,NTPC,,N18000294,5.0,07/2022,599.99,2025-01,January.pdf,,,,,,,,,,5.0,24271.0,,0.0,
,10,DURGAPUR PP-III (2X20 MW) - NSPCL,NTPC,,N18000277,5.0,11/2018,558.39,2025-01,January.pdf,,,,,,,,,,5.0,24227.0,,0.0,
,11,TELANGANA SUPER THERMAL POWER PROJECT PHASE I,NTPC,,N18000212,10598.98,11/2020,10437.71,2025-01,January.pdf,,,,,,,,,,10598.98,24251.0,,0.0,
,12,CONSTRUCTION OF 8 LANE DWARKA EXPRESSWAY (NH- 248BB PACKAGE IV FROM RAIL OVER BRIDGE (ROB) TILL END P,NHAI,,N24000835,1484.3,12/2020,1376.15,2025-01,January.pdf,,,,,,,,,,1484.3,24252.0,,0.0,
,13,CONSTRUCTION OF TWINS 2-LANE ROB AND ITS APPROACHES IN REPLACEMENT OF EXISTING LEVEL CROSSING GATE N,MoRTH,,N24000887,236.78,09/2021,232.54,2025-01,January.pdf,,,,,,,,,,236.78,24261.0,,0.0,
,14,2L+PS OF THIKRI ANJAD SECTION OF NH-347B,MoRTH,,N24000892,2.0,07/2018,221.19,2025-01,January.pdf,,,,,,,,,,2.0,24223.0,,0.0,
,15,SIX LANING OF CHAKERI TO ALLAHABAD SECTION OF NH-2 FROM KM 483.687 TO KM 628.753 (DESIGN LENGTH ? 14,NHAI,,N24001185,2159.0,07/2021,3110.5,2025-01,January.pdf,,,,,,,,,,2159.0,24259.0,,0.0,
,16,IMPHAL ? MOREH PACKAGE- 3,NHIDCL,,N24001352,2.0,12/2022,144.94,2025-01,January.pdf,,,,,,,,,,2.0,24276.0,,0.0,
,17,ALLAHGANJ TO MIRANPUR KATRA SECTION OF NH-730C FROM KM.52.770 TO 114.00,MoRTH,,N24001463,294.84,07/2024,303.27,2025-01,January.pdf,,,,,,,,,,294.84,24295.0,,0.0,
,18,DWARKA EXPRESSWAY PKG-III (DELHI/HR BORDER TO START OF ROB GURUGRAM),NHAI,,N24001780,2228.0,11/2020,1628.6,2025-01,January.pdf,,,,,,,,,,2228.0,24251.0,,0.0,
,19,MULAKALACHERUVU TO MADANAPALLE SECTION OF NH42 FROM KM 202.050 TO KM 245.640 EXCLUDING RETAINED STRE,MoRTH,,N24001933,480.1,12/2024,443.87,2025-01,January.pdf,,,,,,,,,,480.1,24300.0,,0.0,
,20,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM CH.75.330KM TO CH.88.00KM (DESIGN CH.71.800,NHIDCL,,N24001248,208.84,04/2022,193.59,2025-01,January.pdf,,,,,,,,,,208.84,24268.0,,0.0,
,1,SWRO II WITH LLPH FACILITIES,HPCL,,N16000378,1.0,07/2020,196.26,2025-03,FRMarch2025.pdf,,,,,,,,,,1.0,24247.0,,0.0,
,2,VISAKH REFINERY MODERNISATION PROJECT,HPCL,,N16000235,2.0,07/2020,28002.0,2025-03,FRMarch2025.pdf,,,,,,,,,,2.0,24247.0,,0.0,
,3,DEVELOPMENT PLAN OF CBM - BOKARO BLOCK,ONGC,,N16000239,8.0,03/2023,1067.89,2025-03,FRMarch2025.pdf,,,,,,,,,,8.0,24279.0,,0.0,
,4,PIPELINE REPLACEMENT PROJECT - VII,ONGC,,N16000436,3.0,05/2024,3417.0,2025-03,FRMarch2025.pdf,,,,,,,,,,3.0,24293.0,,0.0,
,5,"UPGRADING IPSHEM TO WORLD CLASS FACILITY OF ONGC, GOA",ONGC,,N16000502,325.53,06/2024,304.19,2025-03,FRMarch2025.pdf,,,,,,,,,,325.53,24294.0,,0.0,
,6,UPGRADATION 2/4 LANE NH CONNECTIVITY UNDER SAGARMALA SCHEME SH 2 HAVERI YEKAMBI SH 69 YEKAMBI KUMTA,NHAI,,N24001682,294.62,03/2024,50.21,2025-03,FRMarch2025.pdf,,,,,,,,,,294.62,24291.0,,0.0,
,7,FOUR LANNING OF RAMPUR- KATHGODAM SECTION OF NH-87 FROM KM 0.000 (KM. 190.000 OF NH-24) TO KM 42.791,NHAI,,N24000556,899.0,04/2019,1143.5,2025-03,FRMarch2025.pdf,,,,,,,,,,899.0,24232.0,,0.0,
,8,FOUR LANNING OF RAMPUR- KATHGODAM SECTION OF NH-87 FROM KM 42.791 (DESIGN CHAINAGE 43.446) TO KM 88,NHAI,,N24000559,720.0,10/2019,672.33,2025-03,FRMarch2025.pdf,,,,,,,,,,720.0,24238.0,,0.0,
,9,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDERS OF JORAM KOLORIANG ROAD (NH 713) ON EPC BASIS FROM EXI,NHIDCL,,N24000685,167.28,04/2022,145.2,2025-03,FRMarch2025.pdf,,,,,,,,,,167.28,24268.0,,0.0,
,10,CONSTRUCTION OF TWO LANE WITH HARD SHOULDERS OF CHAKABAMA-ZUNHEBOTO ROAD FROM EXISTING KM 52.370 TO,NHIDCL,,N24000756,285.68,09/2022,193.9,2025-03,FRMarch2025.pdf,,,,,,,,,,285.68,24273.0,,0.0,
,11,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 77.95 TO KM 117.56,PACKAGE,,N24001291,421.48,03/2027,365.83,2025-03,FRMarch2025.pdf,,,,,,,,,,421.48,24327.0,,0.0,
,12,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 117.56 TO KM 163.59,PACKAGE,,N24001292,543.05,03/2027,588.85,2025-03,FRMarch2025.pdf,,,,,,,,,,543.05,24327.0,,0.0,
,13,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 206.66 TO KM 247.05,PACKAGE,,N24001293,486.7,03/2027,480.44,2025-03,FRMarch2025.pdf,,,,,,,,,,486.7,24327.0,,0.0,
,14,DONIPAWA TO ASHAJIPORA BYPASS PKG-7,NHIDCL,,N24001342,2.0,12/2022,191.88,2025-03,FRMarch2025.pdf,,,,,,,,,,2.0,24276.0,,0.0,
,15,DULTE- KWALKULH - CHAMPAI PKG.1,NHIDCL,,N24001355,3.0,12/2022,286.49,2025-03,FRMarch2025.pdf,,,,,,,,,,3.0,24276.0,,0.0,
,16,BALANCE WORK 2-LANING OF LALPUL MANMAO CHANGLANG ROAD (NH-215) ON EPC MODE IN THE STATE OF ARUNACH,MoRTH,,N24001372,588.09,03/2024,497.36,2025-03,FRMarch2025.pdf,,,,,,,,,,588.09,24291.0,,0.0,
,17,4-LANING OF ITANAGAR TO BANDARDEWA SECTION OF NH-415 FROM KM 51+700 TO KM 59+199 (PACKAGE-C) ON EPC,MoRTH,,N24001374,437.6,03/2027,366.59,2025-03,FRMarch2025.pdf,,,,,,,,,,437.6,24327.0,,0.0,
COAL,1,NORTH TISRA AND SOUTH TISRA EXPANSION OCP (6MTY),BHARAT COKING COAL LIMITED,,N06000106,555.52,03/2021,291.95,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,555.52,24255.0,,0.0,
COAL,2,JAYANT EXPANSION OCP 10 TO 20 MTPA Central Sector Projects,NORTHERN COAL FIELDS LIMITED,,N06000159,1783.09,03/2021,1390.64,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1783.09,24255.0,,0.0,
PETROLEUM,3,CITY GAS DISTRIBUTION (CGD) NETWORK BHUBANESHWAR Central Sector Projects,GAS AUTHORITY OF INDIA LIMITED,,N16000289,243.53,07/2022,217.42,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,243.53,24271.0,,0.0,
PETROLEUM,4,KOCHI SALEM LPG PIPELINE PROJECT (Kochi Salem Pipeline Private Limited(JV)) - [N16000314],,,,1112.0,06/2019,1157.07,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1112.0,24234.0,,0.0,
PETROLEUM,5,CITY GAS DISTRIBUTION (CGD) NETWORK PATNA,GAS AUTHORITY OF INDIA LIMITED,,N16000327,359.25,10/2022,293.6,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,359.25,24274.0,,0.0,
PETROLEUM,6,"CITY GAS DISTRIBUTION (CGD) NETWORK, CUTTACK",GAS AUTHORITY OF INDIA LIMITED,,N16000328,182.2,07/2022,144.55,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,182.2,24271.0,,0.0,
PETROLEUM,7,"CITY GAS DISTRIBUTION (CGD) NETWORK, RANCHI",GAS AUTHORITY OF INDIA LIMITED,,N16000329,226.45,10/2022,257.39,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,226.45,24274.0,,0.0,
PETROLEUM,8,30 INCH CRUDE OIL PIPELINE IN HALDIA-BARAUNI SECTION OF PHBPL AND CONVERSION OF EXISTING 18 INCH HAL,INDIAN OIL CORPORATION LIMITED,,N16000332,3712.0,09/2022,2915.64,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,3712.0,24273.0,,0.0,
PETROLEUM,9,SUSTAINED EVACUATION OF GAS FROM GANDHAR FIELDS BY INSTALLING A GAS COMPRESSOR AND PIPELINE CONNECTI,GAS AUTHORITY OF INDIA LIMITED,,N16000349,225.54,02/2021,240.53,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,225.54,24254.0,,0.0,
PETROLEUM,10,"Setting up of Integated 2G and 1G Bio-Ethanol Refinery at Bargarh, Odisha",BHARAT PETROLEUM CORPORATION LIMITED,,N16000374,1607.0,08/2022,1085.97,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1607.0,24272.0,,0.0,
PETROLEUM,11,CITY GAS DISTRIBUTION PROJECT IN GEOGRAPHICAL AREA OF SONIPAT (EAAA) AND JIND DISTRICTS EPC,HINDUSTAN PETROLEUM CORPORATION LIMITED,,N16000385,520.0,09/2026,468.39,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,520.0,24321.0,,0.0,
PETROLEUM,12,CITY GAS DISTRIBUTION IN UP AND UK,HINDUSTAN PETROLEUM CORPORATION LIMITED,,N16000387,3450.2,03/2029,1962.02,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,3450.2,24351.0,,0.0,
PETROLEUM,13,"CITY GAS DISTRIBUTION, JAMSHEDPUR",GAS AUTHORITY OF INDIA LIMITED,,N16000389,221.45,10/2022,237.03,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,221.45,24274.0,,0.0,
PETROLEUM,14,CITY GAS DISTRIBUTION NETWORK PROJECT AT SATNA AND SHAHDOL Central Sector Projects,BHARAT PETROLEUM CORPORATION LIMITED,,N16000472,332.38,09/2028,99.49,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,332.38,24345.0,,0.0,
PETROLEUM,15,HPOIL GAS PVT LTD Joint Venture,HPOIL Gas Pvt. Ltd,,N16000516,334.0,05/2025,0.93,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,334.0,24305.0,,0.0,
PETROLEUM,16,HPOIL GAS PVT LTD-II Joint Venture,HPOIL Gas Pvt. Ltd,,N16000517,307.0,03/2025,14.23,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,307.0,24303.0,,0.0,
RAILWAYS,17,"MUNEERABAD-MAHABOOBNAGAR(NL),SCR",SOUTH CENTRAL RAILWAY,220100205.0,,1723.0,03/2000,2532.19,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1723.0,24003.0,,0.0,
RAILWAYS,18,MULTI MODAL TRANSPORT SYSTEM(MMTS) PHASE-II HYDERABAD,RAIL VIKAS NIGAM LTD.,,N22000213,632.68,03/2016,1094.53,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,632.68,24195.0,,0.0,
RAILWAYS,19,MONIGRAM- NIMTITA,EASTERN RAILWAYS,,N22000301,250.93,,603.03,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,250.93,,,0.0,
RAILWAYS,20,ROSA-SITAPUR CANTT-BURHWAL DOUBLING,NORTH EASTERN RAILWAY,,N22000347,1295.42,03/2022,2262.57,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1295.42,24267.0,,0.0,
RAILWAYS,21,"LUCKNOW- PILIBHIT VIA SITAPUR, LAKHIMPUR GC",RAIL VIKAS NIGAM LTD.,,N22000404,927.01,03/2019,1684.0,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,927.01,24231.0,,0.0,
RAILWAYS,22,MAU-GHAZIPUR-TARIGHAT NEW LINE,RAIL VIKAS NIGAM LTD.,,N22000405,1765.92,03/2023,1687.89,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1765.92,24279.0,,0.0,
RAILWAYS,23,BANASPANI- JAKHPURA - DOUBLING,RAIL VIKAS NIGAM LTD.,,N22000412,942.95,03/2019,1918.7,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,942.95,24231.0,,0.0,
RAILWAYS,24,MANIYACHI - NAGERCOIL (102 KM) DOUBLING,RAIL VIKAS NIGAM LTD.,,N22000449,1700.0,03/2022,1675.56,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1700.0,24267.0,,0.0,
RAILWAYS,25,INDORE-DEWAS-UJJAIN (80 KMS),WESTERN RAILWAY,,N22000493,700.0,06/2020,735.16,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,700.0,24246.0,,0.0,
RAILWAYS,26,Rampurhat-Murarai (29.48 km)-3rd line ITEM RATE,EASTERN RAILWAYS,,N22000530,218.03,03/2024,67.14,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,218.03,24291.0,,0.0,
RAILWAYS,27,BUDNI-BARKHERA - 3RD LINE (33 KM) Central Sector Projects,RAIL VIKAS NIGAM LTD.,,N22000588,991.6,02/2024,1775.59,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,991.6,24290.0,,0.0,
RAILWAYS,28,FLYOVER AT BILASPUR (KHODRI-ANUPPUR) 10 KM ITEM RATE,SOUTH EAST CENTRAL RAILWAY,,N22000617,303.59,03/2024,29.86,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,303.59,24291.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,29,4-LANNING OF TARSOD-FAGNE(FROM KM 422.700-510.00),NATIONAL HIGHWAYS AUTHORITY OF INDIA,,N24000628,1064.88,07/2021,958.51,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1064.88,24259.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,30,4-LANNING OF KODEBAD-DHAMTARI SECTION OF NH-43 (FROM KM. 43.400 TO KM. 82.209) IN THE STATE OF CHHAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,N24000630,446.17,03/2019,353.96,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,446.17,24231.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,31,FOUR LANING OF DIMAPUR KOHIMA ROAD FROM DESIGN KM 138.775 TO KM 152.490 (EXISTING KM 140.000 TO KM 1,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,N24000687,396.52,08/2019,329.67,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,396.52,24236.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,32,TWO LANING WITH PAVED SHOULDER OF MEENSURUTTI (KM. 98.433) TO CHIDAMBARM (KM. 129.965.) SECTION OF N,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,N24000828,633.55,09/2023,265.12,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,633.55,24285.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,33,PATRADEVI TO KARASWADA 4L (MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs)) - [N24001004],,,,634.32,05/2020,654.85,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,634.32,24245.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,34,KARASWADA TO BAMBOLIM (MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs)) - [N24001005],,,,852.67,12/2019,463.26,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,852.67,24240.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,35,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY CARRIAGEWAY FROM BARDAWADI VILLAGE TO MANDSA,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,N24001199,743.88,12/2021,832.0,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,743.88,24264.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,36,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY CARRIAGEWAY FROM JODMI VILLAGE TO BANI VILLA,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,N24001213,1094.97,02/2022,1387.21,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1094.97,24266.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,37,REHABILITATION AND UPGRADATION OF NH 78 FROM KM 531.250 TO KM 597.946 KUNKURI TO CG JH BORDER SECTIO (MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs)) - [N24001224],,,,423.79,01/2018,338.28,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,423.79,24217.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,38,PACKAGE-21 CONSTRUCTION OF EIGHTLANE ACCESS- CONTROLLED EXPRESSWAY CARRIAGEWAY FROM KAMLIYA VILLAGE,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,N24001231,990.97,12/2021,1283.46,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,990.97,24264.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,39,PACKAGE-24 CONSTRUCTION OF EIGHTLANE ACCESS- CONTROLLED EXPRESSWAY CARRIAGEWAY FROM RANNI VILLAGE TO,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,N24001232,847.0,03/2022,966.25,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,847.0,24267.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,40,PACKAGE-23 CONSTRUCTION OF DELHI-VADODARA EIGHT LANE ACCESS- CONTROLLED EXPRESSWAY FROM BAWDI VILLAG,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,N24001233,1047.0,05/2020,1253.89,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,1047.0,24245.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,41,PACKAGE-25 CONSTRUCTION OF EIGHTLANE ACCESS- CONTROLLED EXPRESSWAY CARRIAGEWAY FROM MIYATI VILLAGE T,NATIONAL HIGHWAYS AUTHORITY OF INDIA,,N24001234,996.27,03/2022,1195.72,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,996.27,24267.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,42,REHABILATION AND UPGRADATION TO 2 LANE WITH PAVED SHPULDERS CONFIGURATION OF BEAWAR-ASIND SECTION (K (MINISTRY OF ROAD TRANSPORT AND HIGHWAYS (STATE PWDs)) - [N24001242],,,,196.23,11/2022,130.13,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,196.23,24275.0,,0.0,
ROAD TRANSPORT AND HIGHWAYS,43,2-LANING FROM MANU-SIMLUNG ( PKG I) EPC,NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION Ltd.,,N24001247,247.76,01/2022,118.7,2024-04,April_Part-II_List_of_tables.pdf,"April,2024",,,,,,,,,247.76,24265.0,,0.0,
